mzTrim,control_mean,treatment_mean
88.0755,38189043,48420230
99.0745,2955229,1606191
99.0746,444617,2268312
114.066,1186184467,1368560333
123.0789,1564360,585377
130.086,7380647,8689477
136.0614,960148333,513524933
147.16,36767905,82433509
151.0976,8502327,16054030
151.0977,9177675,9472463
152.0538,35024970,43411880
157.1444,47072467,45846726
167.0924,97974267,120962500
170.092,94189840,108141063
175.0975,1918195,1582465
175.0979,1695002,4066838
176.113,341271433,347813133
180.0766,607188,954042
180.0769,707974,1582673
191.0729,195378210,306054000
191.1862,109195680,100448959
194.0922,2574529,2876613
210.1234,429971,397576
210.1235,421550,907496
210.1377,1128788,1216396
227.1639,188290100,100717343
228.1814,23301457,19883283
235.0602,584235300,610995133
235.0603,1208289500,1121992766
239.1638,23024697,9108934
240.1716,72752803,49486433
240.1717,99568753,130926700
240.2428,182463,200003
248.2077,925190,725243
254.1162,6567778,5764639
255.2285,12486150,11892863
269.1242,395575,281603
269.1243,130481,601404
270.1917,17219577,16182860
281.0292,13566089,4011537
291.1154,53469720,46065523
298.1786,38990273,32039990
306.1663,420113,250549
306.1664,216553,776352
309.1468,13183262,13388401
324.1942,76007347,72628293
330.2455,5170284,12275653
336.1579,20808353,19088533
348.1938,329873,375171
361.1908,580753,620563
367.2364,10095144,8209104
368.1953,194218,169953
369.1209,44198,38920
373.2418,205625,81400
377.1451,23931820,34683576
379.1207,1706404,743349
383.1158,1866527,702003
383.2214,102818,107324
385.2473,16267287,13309220
389.1849,131942,76240
393.1584,43999930,44845760
397.2108,12687815,13018020
410.2789,56335620,41418850
411.111,20534660,10585880
411.2629,21820350,18329573
424.2581,13333240,10373184
426.2741,7149675,6223091
427.3052,16285850,11305196
434.6902,26485903,25298600
436.2945,65286040,50993560
438.274,7921418,8117239
453.3211,107302477,76900393
455.1479,134289,118109
455.3005,31943869,30404944
465.2026,5384929,4744012
465.2432,7028292,6481584
466.1754,4350874,4928961
466.2007,2527697667,3249145333
467.299,22454593,12155135
468.284,14811467,11669329
468.3069,13615757,16139936
469.1553,122091,130311
469.3151,22479917,16895360
471.2475,51110,175156
473.2152,119615473,125034223
474.2309,1746188,1569926
479.3366,27940643,21521240
479.3369,116680133,130719200
480.3426,3769313,3987272
481.3156,14745330,11466280
482.3236,8634817,5715170
484.7321,129879,63467
486.7471,58381,96437
489.213,8394079,6119415
492.3074,7567558,5893700
495.3317,16542820,13471656
500.3035,337724,517811
514.9247,12786758,15277686
522.3545,48865687,53211316
524.3706,25282773,23722230
524.7544,177851,156240
528.2,65385870,47297206
548.922,191348727,163636966
550.919,121686277,103243093
614.1923,1192013,1121065
654.97,169065427,100279153
669.2041,2383385,1731156
691.1845,417086333,300638433
693.471,23465,44025
699.4065,202526,168386
703.5729,64474187,99496880
707.1594,4056748,2843849
710.4969,136624,220813
712.928,87331707,65513420
714.4505,1484263,1621050
716.5549,279932,453881
727.4904,28583,79554
740.5218,30740573,33736623
742.5374,20928280,27329593
744.5888,575633,1200119
749.544,283232,291943
751.6732,689292,532154
752.5186,450551,1046311
755.5196,211483,434552
760.6232,8202463,5198919
761.5847,1234248,751672
762.5407,5431372,6526320
764.5205,44383650,35836996
766.5586,24244587,29177853
768.5501,118812000,134845900
768.5867,678015,1379467
769.5725,8871361,5323393
774.5403,38967680,60453623
775.4873,10224872,7622829
776.5555,45849823,65407326
776.5759,169946,565872
780.5502,3547305,5345530
781.5346,174481,384103
790.5353,40513833,47769520
790.5626,726864,2015281
792.5522,646425,3764143
794.5664,24459313,30079576
794.5914,2156492,2625188
796.5809,10232652,11628287
812.5204,3053669,3390254
814.5353,3106255,3221913
859.5295,521464,989483
870.6216,24309,52216
881.4714,107382,78281
977.6166,78326,129185
1004.6422,368814,537088
1006.6562,254596,361145
1014.6279,215190,467725
1025.6755,728120,923378
1088.6292,607663,278075
