mzTrim,count
194.0922,3
147.16,2
191.1862,2
455.3005,2
427.3052,1
691.1845,1
1006.6562,1
550.919,1
411.2629,1
383.1158,1
794.5914,1
792.5522,1
379.1207,1
764.5205,1
240.1716,1
528.2,1
479.3369,1
157.1444,1
367.2364,1
151.0976,1
790.5353,1
136.0614,1
760.6232,1
481.3156,1
495.3317,1
269.1243,1
489.213,1
699.4065,1
742.5374,1
123.0789,1
479.3366,1
170.092,1
812.5204,1
151.0977,1
210.1234,1
468.284,1
768.5867,1
524.3706,1
180.0769,1
769.5725,1
434.6902,1
114.066,1
373.2418,1
99.0745,1
99.0746,1
480.3426,1
235.0603,1
227.1639,1
814.5353,1
466.2007,1
870.6216,1
306.1664,1
167.0924,1
473.2152,1
436.2945,1
693.471,1
176.113,1
369.1209,1
254.1162,1
468.3069,1
1025.6755,1
411.111,1
514.9247,1
309.1468,1
740.5218,1
781.5346,1
766.5586,1
361.1908,1
324.1942,1
469.3151,1
775.4873,1
255.2285,1
240.2428,1
191.0729,1
751.6732,1
465.2432,1
383.2214,1
210.1235,1
88.0755,1
755.5196,1
393.1584,1
130.086,1
385.2473,1
768.5501,1
269.1242,1
426.2741,1
482.3236,1
794.5664,1
486.7471,1
881.4714,1
368.1953,1
761.5847,1
790.5626,1
614.1923,1
710.4969,1
180.0766,1
389.1849,1
780.5502,1
466.1754,1
330.2455,1
492.3074,1
1014.6279,1
281.0292,1
776.5759,1
1004.6422,1
484.7321,1
467.299,1
291.1154,1
248.2077,1
744.5888,1
859.5295,1
438.274,1
235.0602,1
762.5407,1
270.1917,1
1088.6292,1
453.3211,1
703.5729,1
474.2309,1
410.2789,1
239.1638,1
707.1594,1
455.1479,1
977.6166,1
397.2108,1
424.2581,1
298.1786,1
727.4904,1
774.5403,1
500.3035,1
712.928,1
776.5555,1
471.2475,1
752.5186,1
548.922,1
210.1377,1
522.3545,1
469.1553,1
348.1938,1
669.2041,1
306.1663,1
796.5809,1
524.7544,1
240.1717,1
336.1579,1
714.4505,1
716.5549,1
152.0538,1
749.544,1
465.2026,1
175.0975,1
654.97,1
377.1451,1
175.0979,1
228.1814,1
